0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
9.90,0.05,0.18,0.35,0.63,0.93,1.36,1.79,2.36,2.91,3.53,4.31,5.05,5.97,6.83,7.89,8.87,10.06,11.16,12.49,13.70,15.17,16.49,17.87,19.51,21.00,22.77,24.36,25.99,27.93,29.67,31.45,33.56,35.43,37.35,39.61,41.61,43.66,45.74,48.19,50.36,52.56,54.80,57.43,59.74,62.08,64.46,66.86,69.30,72.16,74.66,77.19,79.75,82.33,84.94,87.57,90.23,92.91,95.61,98.34,101.09,103.85,106.64,109.45,112.27,115.11,117.52,120.39,123.28,126.18,129.10,132.03,134.51,137.46,140.43,143.41,145.92,148.92,151.93,154.47,157.49,160.53,163.08,166.13,168.70,171.76,174.83,177.41,180.49,183.07,186.16,188.75,191.85,194.44,197.55,200.14,202.74,205.85,208.46,211.57,214.17,
10.80,0.05,0.18,0.38,0.67,1.03,1.41,1.92,2.51,3.17,3.91,4.61,5.50,6.45,7.48,8.58,9.61,10.84,12.15,13.53,14.79,16.30,17.88,19.31,21.01,22.78,24.61,26.25,28.20,30.21,32.00,34.12,36.01,38.23,40.51,42.54,44.91,47.02,49.49,51.69,54.25,56.52,59.16,61.50,64.23,66.64,69.45,71.92,74.43,77.34,79.90,82.49,85.50,88.14,90.81,93.91,96.62,99.36,102.12,105.32,108.12,110.94,113.78,116.63,119.50,122.39,125.74,128.65,131.59,134.53,137.49,140.46,143.45,146.44,149.44,151.99,155.02,158.05,161.08,164.13,167.18,170.25,172.84,175.91,178.99,182.07,185.16,187.77,190.87,193.96,196.58,199.69,202.79,205.42,208.53,211.15,214.26,217.38,220.00,223.12,225.74,
11.70,0.06,0.20,0.41,0.70,1.08,1.52,2.05,2.73,3.42,4.18,5.02,5.94,6.93,7.99,9.13,10.34,11.61,12.96,14.38,15.87,17.62,19.25,20.95,22.71,24.53,26.42,28.12,30.12,32.18,34.30,36.47,38.70,40.98,43.32,45.71,48.15,50.32,52.85,55.43,58.05,60.38,63.09,65.84,68.62,71.10,73.96,76.86,79.42,82.39,85.01,88.04,91.10,93.80,96.92,99.66,102.83,105.62,108.84,111.67,114.52,117.80,120.69,123.59,126.93,129.86,132.81,136.20,139.17,142.15,145.15,148.59,151.61,154.64,157.67,160.71,163.76,166.82,169.89,172.96,176.03,179.12,182.20,185.29,188.39,191.49,194.59,197.70,200.81,203.92,207.03,209.68,212.79,215.91,219.03,221.67,224.79,227.91,230.55,233.66,236.78,
12.60,0.06,0.20,0.44,0.74,1.17,1.64,2.25,2.88,3.58,4.46,5.33,6.38,7.40,8.50,9.81,11.06,12.54,13.93,15.40,17.12,18.73,20.40,22.35,24.16,26.03,27.97,30.20,32.26,34.38,36.55,39.05,41.34,43.68,46.08,48.52,51.01,53.55,56.14,58.77,61.45,64.17,66.93,69.73,72.57,75.44,78.36,81.31,84.29,87.31,90.35,93.43,96.16,99.30,102.46,105.64,108.46,111.70,114.95,117.83,121.13,124.04,127.38,130.73,133.69,137.08,140.06,143.48,146.49,149.51,152.96,156.00,159.48,162.53,165.60,169.10,172.18,175.26,178.35,181.44,184.98,188.09,191.19,194.30,197.41,200.53,203.64,206.76,209.88,213.00,216.12,219.24,222.37,225.49,228.61,231.73,234.85,237.97,240.62,243.74,246.85,
13.50,0.06,0.21,0.47,0.82,1.21,1.75,2.37,3.10,3.83,4.73,5.73,6.70,7.87,9.13,10.48,11.77,13.29,14.89,16.40,18.16,19.82,21.73,23.73,25.59,27.73,29.72,32.01,34.12,36.54,38.77,41.32,43.66,46.33,48.78,51.28,54.12,56.72,59.67,62.36,65.09,67.86,71.00,73.86,76.75,79.68,82.65,85.99,89.03,92.09,95.19,98.31,101.46,104.63,107.84,111.06,114.31,117.59,120.49,123.80,127.13,130.48,133.85,136.83,140.23,143.65,147.07,150.10,153.56,156.61,160.08,163.57,166.64,170.14,173.23,176.75,179.85,182.95,186.49,189.60,193.15,196.27,199.39,202.51,206.07,209.20,212.32,215.45,219.02,222.15,225.28,228.40,231.53,234.65,237.78,240.90,244.02,247.14,250.25,253.36,256.47,
14.40,0.07,0.23,0.49,0.85,1.31,1.85,2.50,3.24,4.07,5.00,6.02,7.13,8.33,9.62,11.00,12.47,14.02,15.66,17.39,19.19,21.08,23.04,25.09,26.99,29.18,31.44,33.78,36.18,38.66,40.94,43.54,46.20,48.65,51.43,54.26,56.87,59.81,62.81,65.55,68.64,71.47,74.66,77.56,80.83,83.81,86.82,90.21,93.29,96.39,99.88,103.05,106.24,109.45,113.06,116.32,119.61,122.91,126.24,129.58,132.95,136.32,139.72,143.13,146.55,149.99,153.44,156.90,159.97,163.45,166.94,170.45,173.54,177.06,180.58,183.70,187.23,190.77,193.89,197.44,200.57,204.13,207.26,210.82,213.95,217.09,220.65,223.79,226.92,230.48,233.61,236.75,239.87,243.43,246.55,249.68,252.79,255.91,259.02,262.13,265.24,
15.30,0.07,0.23,0.52,0.89,1.35,1.96,2.62,3.38,4.31,5.26,6.31,7.55,8.79,10.11,11.66,13.16,14.75,16.43,18.36,20.20,22.13,24.14,26.42,28.59,30.83,33.14,35.52,37.97,40.48,43.07,45.71,48.42,51.19,54.02,56.90,59.84,62.83,65.88,68.67,71.80,74.99,78.22,81.17,84.48,87.83,90.89,94.31,97.43,100.92,104.45,107.65,110.88,114.49,117.76,121.42,124.74,128.08,131.81,135.18,138.57,141.98,145.39,149.21,152.66,156.12,159.59,163.07,166.56,170.06,173.56,177.08,180.60,183.72,187.25,190.79,194.33,197.87,201.02,204.57,208.12,211.26,214.82,217.96,221.52,224.66,228.22,231.36,234.91,238.05,241.60,244.74,247.87,251.41,254.53,257.65,260.77,264.30,267.41,270.51,273.61,
16.20,0.07,0.25,0.55,0.92,1.44,2.07,2.74,3.59,4.55,5.52,6.69,7.86,9.23,10.71,12.16,13.84,15.47,17.34,19.14,21.20,23.16,25.40,27.53,29.94,32.22,34.80,37.22,39.72,42.52,45.15,47.84,50.86,53.67,56.55,59.48,62.46,65.49,68.57,72.01,75.19,78.42,81.69,84.68,88.03,91.42,94.84,98.30,101.80,105.32,108.53,112.12,115.73,119.02,122.68,126.01,129.71,133.08,136.83,140.22,144.01,147.44,151.25,154.71,158.18,161.65,165.52,169.02,172.52,176.03,179.55,183.07,186.60,190.14,193.67,197.22,200.76,204.31,207.86,211.41,214.96,218.12,221.67,225.22,228.78,231.93,235.48,238.62,242.17,245.71,248.85,252.38,255.52,259.04,262.17,265.29,268.80,271.91,275.02,278.52,281.61,
17.10,0.07,0.25,0.54,0.95,1.48,2.12,2.86,3.73,4.70,5.78,6.97,8.27,9.67,11.18,12.80,14.51,16.32,18.08,20.08,22.17,24.37,26.65,28.82,31.27,33.80,36.20,38.89,41.66,44.27,47.19,49.93,52.98,55.84,59.02,61.99,65.30,68.37,71.50,74.97,78.19,81.45,84.76,88.10,91.80,95.23,98.69,102.18,105.70,109.26,112.84,116.45,120.09,123.41,127.09,130.80,134.52,137.92,141.68,145.46,148.90,152.71,156.18,160.02,163.50,167.36,170.87,174.75,178.27,181.79,185.69,189.23,192.77,196.31,199.85,203.40,206.95,210.88,214.43,217.98,221.15,224.70,228.25,231.80,235.34,238.89,242.04,245.58,249.12,252.65,255.79,259.31,262.44,265.96,269.47,272.58,276.08,279.19,282.29,285.77,288.86,
18.00,0.08,0.27,0.57,1.03,1.57,2.22,3.05,3.93,4.93,6.03,7.35,8.67,10.11,11.64,13.28,15.02,17.01,18.96,21.00,23.13,25.36,27.67,30.08,32.57,35.14,37.79,40.53,43.34,46.22,48.94,51.96,55.05,58.21,61.16,64.44,67.78,70.90,74.35,77.85,81.11,84.70,88.05,91.43,95.15,98.61,102.10,105.94,109.49,113.07,116.68,120.31,123.97,127.66,131.36,135.09,138.83,142.59,146.37,150.17,153.98,157.45,161.29,165.14,169.00,172.51,176.38,179.91,183.80,187.33,191.24,194.78,198.32,202.24,205.79,209.34,212.89,216.81,220.36,223.91,227.46,231.01,234.55,238.10,241.64,245.17,248.71,252.24,255.76,258.91,262.42,265.94,269.44,272.57,276.06,279.17,282.66,286.13,289.23,292.69,295.77,
18.90,0.08,0.28,0.60,1.06,1.60,2.32,3.16,4.06,5.15,6.28,7.61,8.96,10.53,12.09,13.89,15.67,17.69,19.66,21.90,24.07,26.33,28.87,31.31,33.84,36.44,39.35,42.12,44.97,47.89,50.88,53.94,57.07,60.27,63.52,66.83,70.21,73.64,77.12,80.36,83.94,87.57,91.24,94.65,98.41,101.89,105.72,109.27,113.16,116.77,120.40,124.38,128.07,131.77,135.83,139.57,143.33,147.11,150.90,154.71,158.54,162.37,166.22,170.07,173.58,177.46,181.34,185.23,188.76,192.66,196.20,200.11,204.02,207.57,211.12,215.04,218.59,222.50,226.05,229.60,233.14,236.69,240.59,244.13,247.66,251.19,254.72,258.24,261.75,265.26,268.77,271.90,275.39,278.88,282.36,285.83,288.93,292.39,295.85,298.92,302.36,
